AI,explanation,ResponseId,PROLIFIC_PID,test_order,test_index,test_mse,Finished,displayed_reward,human_response,hai_response,Order,Year_Built,Gr_Liv_Area,Garage_Cars,Fireplaces,Year_Remod,Overall_Qual,SalePrice,pred1,pred2
pred2,none,R_7rMssTr2X2F4Tur,66045b87ffe71e6e521f357d,1938,120,12488.783,True,3,236.0,143.0,1938,1955,1540,1.0,0,1955,4,115000,100803.21,139084.03
pred2,none,R_7rMssTr2X2F4Tur,66045b87ffe71e6e521f357d,229,121,12488.783,True,3,218.0,221.0,229,1996,2260,2.0,0,1997,7,328000,199864.47,217583.2
pred2,none,R_7rMssTr2X2F4Tur,66045b87ffe71e6e521f357d,988,122,12488.783,True,3,309.0,212.0,988,1977,1567,2.0,2,1977,6,196000,189579.38,201326.02
pred2,none,R_7rMssTr2X2F4Tur,66045b87ffe71e6e521f357d,679,123,12488.783,True,3,208.0,113.0,679,1949,1040,2.0,0,1950,4,90000,107110.1,113666.02
pred2,none,R_7rMssTr2X2F4Tur,66045b87ffe71e6e521f357d,841,124,12488.783,True,3,305.0,159.0,841,1994,1097,2.0,0,1995,5,145000,162989.48,150749.84
pred2,none,R_7rMssTr2X2F4Tur,66045b87ffe71e6e521f357d,2641,125,12488.783,True,3,279.0,160.0,2641,1925,1641,2.0,1,1990,7,178000,180625.7,154446.38
pred2,none,R_7rMssTr2X2F4Tur,66045b87ffe71e6e521f357d,1309,126,12488.783,True,3,251.0,171.0,1309,1915,1416,3.0,1,1950,5,153900,161193.11,166297.23
pred2,none,R_7rMssTr2X2F4Tur,66045b87ffe71e6e521f357d,2639,127,12488.783,True,3,320.0,140.0,2639,1920,1657,1.0,1,1980,4,111500,99533.28,138552.1
pred2,none,R_7rMssTr2X2F4Tur,66045b87ffe71e6e521f357d,2685,128,12488.783,True,3,219.0,121.0,2685,1922,1048,1.0,1,1950,5,113000,116447.8,107147.91
pred2,none,R_7rMssTr2X2F4Tur,66045b87ffe71e6e521f357d,2604,129,12488.783,True,3,313.0,133.0,2604,1915,1214,3.0,0,1950,3,105000,101655.37,133571.34
pred2,none,R_7rMssTr2X2F4Tur,66045b87ffe71e6e521f357d,969,130,12488.783,True,3,197.0,301.0,969,2007,1978,3.0,1,2007,9,425000,344494.06,302866.7
pred2,none,R_7rMssTr2X2F4Tur,66045b87ffe71e6e521f357d,593,131,12488.783,True,3,193.0,200.0,593,2001,1665,2.0,0,2001,8,227000,218630.5,202320.9
pred2,both,R_75T5liT3UwY8r0P,5f79bca83a2eb65c0983816d,322,180,88881.0266925,True,3,442.0,352.0,322,2008,2018,3.0,1,2009,9,378500,351302.0,330220.12
